Drug1,Drug2,Prob,Source,Method
DB01172,DB00684,0.6667,DrugBank,semEP
DB00621,DB06718,0.6667,DrugBank,semEP
DB00699,DB03756,0.6667,DrugBank,semEP
DB00335,DB01155,0.6667,DrugBank,semEP
DB01065,DB06825,0.6667,DrugBank,semEP
DB00282,DB00630,0.6667,DrugBank,semEP
DB04574,DB04870,0.6667,DrugBank,semEP
DB00957,DB00603,0.6667,DrugBank,semEP
DB12945,DB00696,0.6667,DrugBank,semEP
DB01297,DB00612,0.6667,DrugBank,semEP
DB00805,DB00281,0.6667,DrugBank,semEP
DB00860,DB00741,0.6667,DrugBank,semEP
DB01264,DB00501,0.6667,DrugBank,semEP
DB00373,DB00670,0.6667,DrugBank,semEP
DB08972,DB00467,0.6667,DrugBank,semEP
DB09351,DB00187,0.6667,DrugBank,semEP
DB01255,DB00715,0.6667,DrugBank,semEP
DB06287,DB04861,0.6667,DrugBank,semEP
DB00966,DB00793,0.6667,DrugBank,semEP
DB07069,DB03754,0.6667,DrugBank,semEP
DB09224,DB00340,0.6667,DrugBank,semEP
DB09250,DB08626,0.6667,DrugBank,semEP
DB01146,DB00434,0.6667,DrugBank,semEP
DB03754,DB00820,0.6667,DrugBank,semEP
DB01255,DB13141,0.6667,DrugBank,semEP
DB05107,DB00497,0.6667,DrugBank,semEP
DB00232,DB01021,0.6667,DrugBank,semEP
DB01440,DB00255,0.6667,DrugBank,semEP
DB00937,DB01255,0.6667,DrugBank,semEP
DB01189,DB00316,0.6667,DrugBank,semEP
DB09251,DB13443,0.6667,DrugBank,semEP
DB01434,DB05107,0.6667,DrugBank,semEP
DB05212,DB00635,0.6667,DrugBank,semEP
DB01405,DB01208,0.6667,DrugBank,semEP
DB00226,DB01162,0.6667,DrugBank,semEP
DB01365,DB01431,0.6667,DrugBank,semEP
DB01241,DB06695,0.6667,DrugBank,semEP
DB11586,DB06605,0.6667,DrugBank,semEP
DB07615,DB00658,0.6667,DrugBank,semEP
DB01034,DB09279,0.6667,DrugBank,semEP
DB13132,DB09274,0.6667,DrugBank,semEP
DB06480,DB00604,0.6667,DrugBank,semEP
DB00773,DB00361,0.6667,DrugBank,semEP
DB00901,DB09073,0.6667,DrugBank,semEP
DB11641,DB00501,0.6667,DrugBank,semEP
DB00221,DB05395,0.6667,DrugBank,semEP
DB00323,DB00217,0.6667,DrugBank,semEP
DB00970,DB00501,0.6667,DrugBank,semEP
DB06711,DB00217,0.6667,DrugBank,semEP
DB01365,DB09056,0.6667,DrugBank,semEP
DB00674,DB04864,0.6667,DrugBank,semEP
DB01233,DB00636,0.6667,DrugBank,semEP
