Drug1,Drug2,Prob,Method
DB01105,C0151480,0.1678,GIP
DB00863,C0017086,0.1673,GIP
DB01156,C2711227,0.1672,GIP
DB00927,C0026827,0.16699999999999998,GIP
DB01291,C0410740,0.1669,GIP
DB01202,C0037926,0.1669,GIP
DB00181,C0034212,0.1668,GIP
DB00262,C0025323,0.1667,GIP
DB00250,C0018418,0.1666,GIP
DB00291,C0019209,0.1664,GIP
DB01083,C0546956,0.1662,GIP
DB01213,C0017574,0.1662,GIP
DB00291,C0085661,0.1661,GIP
DB01244,C0033893,0.166,GIP
DB01005,C0013595,0.1659,GIP
DB00130,C0338480,0.1655,GIP
DB08864,C0033893,0.1655,GIP
DB01043,C0025323,0.1653,GIP
DB01250,C0410740,0.1652,GIP
DB04938,C0009088,0.1652,GIP
DB00431,C0015967,0.1652,GIP
DB00963,C0034212,0.1652,GIP
DB00491,C0002447,0.1652,GIP
DB00429,C0033893,0.1651,GIP
DB01020,C0020456,0.1651,GIP
DB00633,C0018916,0.1651,GIP
DB00281,C0024437,0.1651,GIP
DB00804,C0032797,0.165,GIP
DB00861,C0033893,0.165,GIP
DB06201,C0162627,0.1649,GIP
DB00960,C0162627,0.1649,GIP
DB01097,C0025312,0.1648,GIP
DB01189,C0156394,0.1648,GIP
DB00910,C0546956,0.1645,GIP
DB01050,C0587246,0.1645,GIP
DB00597,C0033117,0.1644,GIP
DB00341,C0010520,0.1644,GIP
DB00321,C2711227,0.1643,GIP
DB00742,C0033860,0.1642,GIP
DB00909,C0020456,0.1642,GIP
DB00586,C0033893,0.1642,GIP
DB01213,C0242350,0.1641,GIP
DB01291,C0853945,0.1641,GIP
DB01033,C0003855,0.16399999999999998,GIP
DB00813,C0034212,0.16399999999999998,GIP
DB06410,C0009088,0.16399999999999998,GIP
DB00828,C0033117,0.1639,GIP
DB00490,C0002447,0.1638,GIP
DB00458,C0018418,0.1638,GIP
DB00669,C0025312,0.1637,GIP
DB00211,C0003962,0.1634,GIP
DB00331,C0006625,0.1634,GIP
DB00244,C0018621,0.1633,GIP
DB00461,C0236000,0.1632,GIP
DB00367,C0033893,0.1632,GIP
DB00742,C0025312,0.1632,GIP
DB01083,C0162627,0.1632,GIP
DB01213,C0206093,0.163,GIP
DB01039,C0151529,0.1629,GIP
DB00585,C0022346,0.1628,GIP
DB00996,C0151798,0.1627,GIP
DB00742,C0042341,0.1627,GIP
DB08864,C0010520,0.1626,GIP
DB00553,C0034194,0.1624,GIP
DB01202,C0338480,0.1624,GIP
DB01217,C0033893,0.1624,GIP
DB00624,C2711227,0.1623,GIP
DB00669,C0033893,0.1621,GIP
DB00710,C0576093,0.1621,GIP
DB00379,C0151544,0.1619,GIP
DB01367,C0025312,0.1618,GIP
