Drug1,Drug2,Prob,Method
DB00489,C0029456,0.9646,BLM
DB00297,C0162119,0.9646,BLM
DB01263,C0019079,0.9646,BLM
DB01262,C0151699,0.9646,BLM
DB01220,C0025323,0.9644,BLM
DB00836,C0019079,0.9643,BLM
DB01008,C0162119,0.9643,BLM
DB00969,C0018926,0.9642,BLM
DB01129,C0042345,0.9642,BLM
DB00675,C0018926,0.9642,BLM
DB01250,C0017565,0.9641,BLM
DB01232,C0017565,0.9641,BLM
DB01012,C0019079,0.9641,BLM
DB00602,C0018926,0.9641,BLM
DB01222,C0018926,0.964,BLM
DB00997,C0019064,0.964,BLM
DB06663,C0019079,0.964,BLM
DB01167,C0015402,0.964,BLM
DB09065,C0702166,0.9639,BLM
DB09220,C0017565,0.9638,BLM
DB06176,C0017565,0.9637,BLM
DB06698,C0002792,0.9636,LapRLS
DB00575,C0018926,0.9636,BLM
DB00804,C0029927,0.9636,BLM
DB08815,C0015402,0.9635,BLM
DB00104,C0029089,0.9635,BLM
DB01551,C0019079,0.9633,BLM
DB00399,C0015402,0.9633,BLM
DB00633,C0017565,0.9633,BLM
DB04485,C0019079,0.9632,BLM
DB01017,C0018926,0.9631,BLM
DB00953,C0003855,0.9631,BLM
DB00710,C0017565,0.963,BLM
DB01262,C0015402,0.963,BLM
DB01149,C0028866,0.963,BLM
DB00783,C0015402,0.963,BLM
DB00399,C0003855,0.963,BLM
DB00492,C0019079,0.963,BLM
DB00316,C0162119,0.9629,BLM
DB01409,C0019079,0.9629,BLM
DB00224,C0029456,0.9629,BLM
DB01215,C0028866,0.9628,BLM
DB01150,C0042514,0.9627,BLM
DB01101,C0019064,0.9627,BLM
DB00104,C0151699,0.9627,BLM
DB01264,C0162119,0.9626,BLM
DB01280,C0018926,0.9625,BLM
DB00419,C0019079,0.9623,BLM
DB00349,C0018926,0.9623,BLM
DB00932,C0019079,0.9623,BLM
DB00630,C0015402,0.9622,BLM
DB01264,C0017565,0.9621,BLM
DB00426,C0027651,0.9621,BLM
DB00978,C0015402,0.962,BLM
DB01222,C0162119,0.9618,BLM
DB00552,C0019079,0.9618,BLM
DB00218,C0018926,0.9618,BLM
DB01142,C0151699,0.9618,BLM
DB01177,C0028734,0.9617,BLM
DB00820,C0017565,0.9616,BLM
DB00492,C0018926,0.9616,BLM
DB00806,C0019079,0.9616,BLM
DB00104,C0015402,0.9616,BLM
DB01046,C0042514,0.9615,BLM
DB00658,C0019079,0.9615,BLM
DB01264,C0019079,0.9615,BLM
DB00762,C0015402,0.9615,BLM
DB01250,C0162119,0.9615,BLM
DB00349,C0162119,0.9615,BLM
DB00969,C0017565,0.9614,BLM
DB00224,C0003855,0.9614,BLM
DB00303,C0017565,0.9614,BLM
DB00130,C0018926,0.9614,BLM
DB00244,C0005695,0.9613,BLM
DB00224,C0018926,0.9613,BLM
DB01220,C0042514,0.9613,BLM
DB00491,C0042514,0.9611,BLM
DB01280,C0018099,0.961,BLM
DB01190,C0019079,0.961,BLM
DB00294,C0019079,0.961,BLM
DB01080,C0003855,0.961,BLM
DB06213,C0018926,0.9609,BLM
DB00953,C0151699,0.9608,BLM
DB09065,C0019079,0.9608,BLM
DB00331,C0026826,0.9607,BLM
DB06663,C0025323,0.9607,BLM
DB01062,C0017565,0.9607,BLM
DB01083,C0019079,0.9607,BLM
DB01079,C0162119,0.9606,BLM
DB01280,C0017565,0.9606,BLM
DB00877,C0003855,0.9606,BLM
DB01217,C0019079,0.9604,BLM
DB00461,C0151699,0.9603,BLM
DB06402,C0018926,0.9603,BLM
DB00884,C0162119,0.9602,BLM
DB00419,C0027651,0.9602,BLM
DB04868,C0032000,0.9602,BLM
DB00583,C0019079,0.9602,BLM
DB00958,C0026826,0.9601,BLM
DB06215,C0018926,0.96,BLM
DB04854,C0019079,0.96,BLM
DB00338,C0019064,0.9599,BLM
DB00828,C0042109,0.9599,LapRLS
DB00130,C0042514,0.9599,BLM
DB00633,C0018926,0.9599,BLM
DB00296,C0018926,0.9598,BLM
DB06698,C0017181,0.9598,BLM
DB00489,C0162119,0.9597,BLM
DB00399,C0029089,0.9596,BLM
DB00953,C0018926,0.9595,BLM
DB09101,C0010692,0.9595,BLM
DB00489,C0019079,0.9594,BLM
DB00184,C0022408,0.9594,BLM
DB00969,C0149871,0.9594,BLM
DB00209,C0019079,0.9594,BLM
DB00806,C0017565,0.9593,BLM
DB01609,C0017565,0.9593,BLM
DB01254,C0017565,0.9592,BLM
DB00572,C0042514,0.9592,BLM
DB00790,C0151699,0.9592,BLM
DB01609,C0019079,0.9591,BLM
DB00857,C0042345,0.9591,BLM
DB00431,C0013404,0.9588,LapRLS
DB06213,C0027651,0.9588,BLM
DB00612,C0018926,0.9588,BLM
DB01262,C0018099,0.9588,BLM
DB00659,C0032000,0.9587,BLM
DB00966,C0017565,0.9587,BLM
DB00762,C0162119,0.9586,BLM
DB01008,C0018926,0.9585,BLM
DB00244,C0151699,0.9584,BLM
DB00296,C0162119,0.9584,BLM
DB06616,C0010692,0.9581,BLM
DB00349,C0017565,0.9581,BLM
DB00316,C0019079,0.958,BLM
DB09065,C0042514,0.9578,BLM
DB00997,C0151699,0.9577,BLM
DB06213,C0162119,0.9577,BLM
DB11180,C0043352,0.9577,LapRLS
DB01208,C0018926,0.9576,BLM
DB01072,C0029456,0.9576,BLM
DB00224,C0017565,0.9575,BLM
DB04854,C0017565,0.9575,BLM
DB01004,C0017565,0.9575,BLM
DB00806,C0022408,0.9573,BLM
DB01259,C0019079,0.9572,BLM
DB00684,C0042514,0.9571,BLM
DB00572,C0010692,0.9571,BLM
DB06663,C0042514,0.9571,BLM
DB00104,C0018926,0.957,BLM
DB01609,C0162119,0.957,BLM
DB04868,C0005695,0.9569,BLM
DB01254,C0018099,0.9569,BLM
DB00658,C0018802,0.9569,BLM
DB01222,C0017565,0.9569,BLM
DB01149,C0003855,0.9569,BLM
DB01232,C0019079,0.9568,BLM
DB01267,C0151699,0.9568,BLM
DB00560,C0019079,0.9568,BLM
DB00804,C0018926,0.9568,BLM
DB00762,C0020437,0.9567,BLM
DB00216,C0019064,0.9566,BLM
DB00343,C0018926,0.9564,BLM
DB00602,C0019079,0.9563,BLM
DB08901,C0018802,0.9563,BLM
DB01008,C0017565,0.9562,BLM
DB00932,C0042514,0.9562,BLM
DB00585,C0042514,0.956,BLM
DB00104,C0162119,0.956,BLM
DB00611,C0018926,0.956,BLM
DB01072,C0019079,0.956,BLM
DB00491,C0026826,0.9559,BLM
DB04485,C0025323,0.9559,BLM
DB00953,C0029456,0.9558,BLM
DB00969,C0019079,0.9558,BLM
DB00331,C0017181,0.9557,BLM
DB00877,C0015402,0.9556,BLM
DB01202,C0018926,0.9556,BLM
DB00990,C0019079,0.9556,BLM
DB00795,C0042514,0.9555,BLM
DB00209,C0162119,0.9553,BLM
DB00612,C0019079,0.9553,BLM
DB00722,C0151699,0.9551,BLM
DB01250,C0019079,0.9551,BLM
DB04854,C0042514,0.9551,BLM
DB00338,C0151699,0.955,BLM
DB00248,C0018926,0.955,BLM
