Drug1,Drug2,Prob,Method
DB06151,C0004604,0.3742,LapRLS
DB00597,C0013604,0.3742,LapRLS
DB11180,C0018965,0.3739,LapRLS
DB00859,C0033774,0.3737,LapRLS
DB06261,C0012569,0.3733,LapRLS
DB00658,C0546817,0.3733,LapRLS
DB11180,C0011606,0.373,LapRLS
DB06151,C0039070,0.373,LapRLS
DB04572,C0009676,0.3728,LapRLS
DB06261,C0151798,0.3727,LapRLS
DB06151,C0011168,0.3726,LapRLS
DB01008,C0026826,0.3725,LapRLS
DB00720,C0011168,0.3724,LapRLS
DB00753,C0014457,0.3722,LapRLS
DB11180,C0012569,0.3718,LapRLS
DB00658,C0392699,0.3714,LapRLS
DB11180,C0002994,0.3714,LapRLS
DB06151,C0085584,0.3714,LapRLS
DB06261,C0036572,0.3712,LapRLS
DB00431,C0004604,0.3712,LapRLS
DB00313,C0009676,0.371,LapRLS
DB00753,C0032285,0.3708,LapRLS
DB00828,C0012569,0.3707,LapRLS
DB01008,C0030554,0.3706,LapRLS
DB00828,C0033975,0.3701,LapRLS
DB00828,C0392525,0.37,LapRLS
DB04572,C0423791,0.37,LapRLS
DB00828,C0026826,0.3699,LapRLS
DB00915,C0008031,0.3699,LapRLS
DB00727,C0085649,0.3698,LapRLS
DB01236,C0026826,0.3697,LapRLS
DB00125,C0002962,0.3691,LapRLS
DB00828,C3665386,0.3686,LapRLS
DB06151,C0042963,0.3685,LapRLS
DB00659,C0043094,0.3683,LapRLS
DB00828,C0032285,0.3683,LapRLS
DB00316,C0004604,0.3673,LapRLS
DB00478,C0013604,0.3673,LapRLS
DB06261,C0014457,0.3669,LapRLS
DB00597,C0085649,0.3669,LapRLS
DB00659,C0080274,0.3668,LapRLS
DB00859,C0020649,0.3666,LapRLS
DB00431,C0014457,0.3665,LapRLS
DB01236,C0004134,0.366,LapRLS
DB00478,C0232461,0.366,LapRLS
DB00727,C0034065,0.3658,LapRLS
DB06151,C3665386,0.3658,LapRLS
DB06261,C0002962,0.3655,LapRLS
DB00753,C0000737,0.3648,LapRLS
DB00659,C0018790,0.3628,LapRLS
DB01236,C0002418,0.3626,LapRLS
DB00727,C1456784,0.3624,LapRLS
DB06261,C2830004,0.3623,LapRLS
DB01236,C0032285,0.3621,LapRLS
